countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
1001,75.760002,19.530001,.28,1.17,.039999999,.67000002,2.55,1992,161200
1003,85.440002,8.7700005,.69,.93000001,0,1.5599999,2.5999999,1995,211600
1005,46.299999,47.669998,.34999999,.49000001,0,3.0999999,2.0899999,1980,86500
1007,76.599998,22.549999,.050000001,.25,0,.039999999,.50999999,1983,96400
1009,93.970001,1.4,.1,.41,.1,1.8,2.24,1987,135300
1011,26.18,68.610001,0,1.35,0,3.1300001,.74000001,1987,74800
1013,51.619999,44.59,.33000001,1.3200001,0,.5,1.64,1979,98100
1015,73.300003,21.16,.31,.81,.28999999,1.64,2.49,1978,121600
1017,56.889999,40,.23999999,1.1,.029999999,.79000002,.94999999,1978,103800
1019,92.07,4.8000002,.57999998,.1,0,.81,1.64,1989,138500
1021,82.129997,9.6700001,1.14,.44,0,3.5599999,3.0599999,1985,104500
1023,56.860001,42.32,.050000001,.2,0,.090000004,.47999999,1979,75900
1025,52.459999,45.709999,.079999998,.46000001,0,.2,1.1,1982,106600
1027,83.309998,15.32,.15000001,.25,0,.050000001,.93000001,1979,116100
1029,93.330002,2.6400001,.14,.0099999998,0,1.88,2.01,1985,118700
1031,74.690002,17.049999,1,1.61,0,1.29,4.3600001,1983,153700
1033,78.75,16.209999,.56999999,.50999999,.1,1.79,2.0599999,1977,125400
1035,50.540001,48.060001,.16,.56999999,0,0,.66000003,1987,83900
1037,65.93,32.259998,.30000001,0,0,.63999999,.87,1983,89200
1039,84.269997,12.69,.20999999,.66000003,.090000004,.36000001,1.73,1983,99600
1041,71.529999,23.629999,.75,1.3200001,.059999999,.41999999,2.29,1980,84400
1043,93.940002,1.13,.34999999,.36000001,0,.91000003,3.3,1984,135200
1045,71.580002,20.68,.83999997,1.38,0,2.1900001,3.3299999,1982,113800
1047,27.219999,71.470001,.13,.64999998,.029999999,0,.5,1974,84100
1049,84.769997,1.53,1.1900001,.11,.13,8.7600002,3.51,1983,113600
1051,74.910004,21.129999,.30000001,.92000002,0,.72000003,2.02,1994,171100
1053,61.880001,32.02,3.78,.28,.12,.37,1.55,1986,100800
1055,79.139999,16.08,.50999999,.79000002,0,1.27,2.2,1973,124400
1057,84.629997,12.21,0,.66000003,.02,.0099999998,2.47,1979,92400
1059,82.370003,3.9300001,1.03,.86000001,.02,10.05,1.74,1982,103000
1061,85.959999,10.15,1.1799999,.16,.039999999,1.01,1.5,1980,108400
1063,17.389999,78.93,.46000001,0,0,.47,2.74,1980,76200
1065,38.419998,59.139999,0,.19,0,.1,2.1500001,1984,91500
1067,70.050003,26.59,.2,.43000001,.20999999,.85000002,1.6799999,1983,119000
1069,68.230003,27.23,.28,.94999999,.02,.64999998,2.6600001,1983,141800
1071,91.199997,3.6900001,1.08,.41999999,.07,.86000001,2.6800001,1981,107900
1073,51.419998,42.900002,.18000001,1.58,.029999999,1.66,2.23,1974,165000
1075,87.43,11.01,.090000004,.15000001,0,.36000001,.97000003,1976,95400
1077,85.940002,10.24,.36000001,.63,.07,.31,2.45,1978,149500
1079,78.25,10.68,5.9699998,.12,.07,.49000001,4.4299998,1986,113800
1081,69.68,22.709999,.20999999,4.3600001,0,.75,2.28,1995,173700
1083,78.900002,13.55,.93000001,1.46,.039999999,2.1099999,3.02,1992,167800
1085,24.799999,74.879997,.12,0,0,0,.2,1989,66500
1087,16.27,82.239998,.079999998,.2,0,.07,1.15,1978,82400
1089,67.279999,24.6,.56,2.6300001,.079999998,1.5599999,3.28,1989,190200
1091,46.580002,51.77,.13,.050000001,0,.22,1.25,1982,82200
1093,92.290001,3.78,.46000001,.059999999,0,1.61,1.8,1980,87700
1095,90.269997,2.9400001,.38999999,.63999999,.039999999,2,3.72,1983,141300
1097,58.009998,36.110001,.66000003,1.87,.0099999998,1.11,2.23,1979,138400
1099,54.389999,42.450001,1.36,.60000002,.059999999,.1,1.04,1984,100900
1101,34.740002,57.919998,.20999999,3.0599999,.0099999998,1.3,2.76,1979,130000
1103,78.559998,12.68,.41999999,.55000001,.16,4.1300001,3.49,1982,143900
1105,29.610001,69.089996,.029999999,.090000004,0,1.13,.039999999,1977,80100
1107,56.779999,40.290001,.19,.039999999,0,1.34,1.36,1982,100000
1109,57.790001,37.310001,.36000001,2.1500001,.0099999998,.12,2.25,1985,131600
1111,77.260002,19.030001,.44,.22,0,.76999998,2.28,1986,119500
1113,47.77,44.919998,.15000001,1.17,.050000001,2.6500001,3.3,1984,126300
1115,87.029999,9.4399996,.54000002,.75,.02,.81,1.4,1994,165900
1117,79.760002,12.12,.38999999,1.96,.02,2.6900001,3.0699999,1995,220700
1119,25.33,71.349998,.059999999,1.96,0,.31,.98000002,1982,67300
1121,63.48,32.279999,.34999999,.54000002,.19,.95999998,2.2,1981,112300
1123,69.860001,27.629999,.13,.41,0,.74000001,1.22,1982,108300
1125,63.34,32.23,.22,1.64,.02,.85000002,1.6900001,1991,179000
1127,89.559998,6.04,.28999999,.37,0,1.02,2.71,1982,109600
1129,66,24.25,7.4899998,.18000001,0,.15000001,1.9299999,1984,88100
1131,27.18,70.300003,.11,.039999999,0,0,2.3699999,1985,67200
1133,95.580002,.81,.30000001,.38,.07,1.1,1.77,1986,87300
