countycode,total_insurance,total_insurance_building,total_insurance_contents
1001,130825,100200,30625
1003,793365.56,727985.0374614367,65380.49801674746
1005,295800,231600,64200
1007,15400,15400,0
1009,186000,130000,56000
1015,117000,97000,20000
1017,332500,237500,95000
1019,715038.44,682346.1538461539,32692.30769230769
1021,350000,250000,100000
1023,109150,94150,15000
1025,127900,95900,32000
1031,185920,140160,45760
1033,156558.63,125355.1724137931,31203.44827586207
1037,350000,250000,100000
1039,145900,120900,25000
1043,210000,150000,60000
1045,61200,61200,0
1047,132055.56,106444.4444444444,25611.11111111111
1049,206085.72,161800,44285.71428571428
1051,277142.84,207142.8571428571,70000
1053,246847.83,182806.5217391304,64041.30434782609
1055,175577.78,162733.3333333333,12844.44444444445
1059,123250,112750,10500
1061,143012.5,109137.5,33875
1063,183352.17,168336.9565217391,15015.21739130435
1065,139416.67,126550,12866.66666666667
1067,221666.67,158333.3333333333,63333.33333333334
1069,246368.42,177947.3684210526,68421.05263157895
1071,76370,69970,6400
1073,236950.33,163983.2258064516,72967.09677419355
1077,198346.16,149884.6153846154,48461.53846153846
1079,133150,99200,33950
1081,323712.5,236212.5,87500
1083,350000,250000,100000
1085,280000,200000,80000
1089,254325,185462,68863
1091,82683.336,65683.33333333333,17000
1095,252000,180000,72000
1097,287189.97,227993.6430317848,59196.33251833741
1099,112900,90800,22100
1101,202350.98,151011.7647058823,51339.21568627451
1103,218031.81,164481.8181818182,53550
1107,207351.86,188788.8888888889,18562.96296296296
1111,70000,50000,20000
1113,221394.73,177815.7894736842,43578.94736842105
1115,305000,231250,73750
1117,201431.7,153768.2926829268,47663.41463414634
1119,150600,150600,0
1121,253583.33,192916.6666666667,60666.66666666666
1123,175000,125000,50000
1125,279967.5,217612.5,62355
1127,282777.78,240555.5555555556,42222.22222222222
1129,140000,100000,40000
2020,357033.34,323700,33333.33333333334
2090,184814.28,162082.8571428571,22731.42857142857
2110,232000,213666.6666666667,18333.33333333333
2122,350000,250000,100000
2130,79500,79500,0
2170,211800,171800,40000
2195,170800,145200,25600
2220,184400,184400,0
2290,119500,69500,50000
4001,171800,171800,0
4003,226625,187562.5,39062.5
4005,324781.81,233727.2727272727,91054.54545454546
4007,186314.28,142314.2857142857,44000
4009,260500,188500,72000
4012,300000,250000,50000
4013,270244.66,212396.2264150943,57848.42767295597
4015,246433.33,199766.6666666667,46666.66666666666
4017,336533.34,247644.4444444444,88888.88888888889
4019,218305.17,187239.6551724138,31065.51724137931
4021,323320.69,216437.9310344828,106882.7586206897
4023,227800,180300,47500
4025,216397.09,173957.9710144928,42439.13043478261
4027,196050,196050,0
5001,51255.555,45322.22222222222,5933.333333333333
5003,88533.336,78114.28571428571,10419.04761904762
5005,113238.46,101323.0769230769,11915.38461538462
5007,231152.44,185753.6585365854,45398.78048780488
5009,213283.33,199450,13833.33333333333
5011,179590,137050,42540
5013,27000,27000,0
5017,183716.22,135643.2432432433,48072.97297297297
5019,282075,262500,19575
5021,101336.59,85382.9268292683,15953.65853658537
5023,209818.75,184062.5,25756.25
5029,49050,48400,650
5031,188852.81,154382.0224719101,34470.78651685394
5033,178985,152185,26800
5035,146112.5,121125,24987.5
5037,175000,125000,50000
5041,96673.336,86402.22222222222,10271.11111111111
5043,123333.34,103333.3333333333,20000
5045,173194.88,146629.9145299145,26564.95726495727
5047,176300,130500,45800
5049,71900,53490.90909090909,18409.09090909091
5051,228266.67,192561.9047619048,35704.76190476191
5053,107950,87950,20000
5055,59527.273,59527.27272727273,0
5057,117650,97650,20000
5061,90000,73333.33333333333,16666.66666666667
5063,86842.859,61128.57142857143,25714.28571428571
5065,147920,125140,22780
5067,86333.336,68825.92592592593,17507.40740740741
5069,109184.67,92593.4306569343,16591.24087591241
5075,94645.453,74600,20045.45454545454
5077,98366.664,88733.33333333333,9633.333333333334
5079,188875,176375,12500
5085,188237.5,138975,49262.5
5091,119038.89,110911.1111111111,8127.777777777777
5093,190954.55,149100,41854.54545454546
5095,97118.18,91436.36363636363,5681.818181818182
5097,181400,139100,42300
5101,88100,88100,0
5103,36275,29287.5,6987.5
5105,139017.64,122547.0588235294,16470.58823529412
5107,115578.26,84669.56521739131,30908.69565217391
5111,267738.09,191885.7142857143,75852.38095238095
5113,179000,139000,40000
5115,177350,152016.6666666667,25333.33333333333
5117,83137.5,74454.16666666667,8683.333333333334
5119,227504.23,183750.1628664495,43754.07166123779
5121,183990.66,138348.5981308411,45642.05607476635
5123,93050,78050,15000
5125,263339.28,199264.2857142857,64075
5127,579000,346500,232500
5131,228042.45,181729.2452830189,46313.20754716981
5133,112350,92350,20000
5135,55000,55000,0
5139,130600,105085.7142857143,25514.28571428571
5143,209557.8,175848.623853211,33709.1743119266
5145,158427.27,132409.0909090909,26018.18181818182
5147,93344.445,76161.11111111111,17183.33333333333
5149,193300,175800,17500
6001,314217.5,243040,71177.5
6003,500000,500000,0
6005,227266.67,181950,45316.66666666666
6007,264243.34,215393.3333333333,48850
6009,327857.16,246428.5714285714,81428.57142857143
6011,246315.39,214107.6923076923,32207.69230769231
6013,305528.56,258486.8131868132,47041.75824175825
6015,148066.67,108066.6666666667,40000
6017,281730.44,212984.7826086956,68745.65217391304
6019,317214.28,230000,87214.28571428571
6021,202000,158785.7142857143,43214.28571428572
6023,197087.5,172087.5,25000
6029,193439.58,148481.25,44958.33333333334
6031,210000,150000,60000
6033,222136.69,200410.0591715976,21726.62721893491
6035,208604.55,187240.9090909091,21363.63636363636
6037,287845.16,219972.6744186046,67872.48062015504
6039,222240,200640,21600
6041,340772.09,278025.5813953488,62746.51162790698
6045,276692.31,228369.2307692308,48323.07692307692
